title,price_raw,price,is_negotiable,date_raw,date,category_path,level1,level2,level3,level4,region,city,district,link
Kojec dla psa 3x2 ocynkowany; mocny profil + uchwyty na miski GRATIS,1 900 zł,1900,False,Odświeżono dnia 04 maja 2026,2026-05-04,Zwierzęta > Akcesoria dla zwierząt > Akcesoria dla psów > Klatki i kojce,Zwierzęta,Akcesoria dla zwierząt,Akcesoria dla psów,Klatki i kojce,Dolnośląskie,Jelenia Góra,Goduszyn,https://www.olx.pl/d/oferta/kojec-dla-psa-3x2-ocynkowany-mocny-profil-uchwyty-na-miski-gratis-CID103-IDSuV0n.html?search_reason=search%7Cpromoted
Maszynka do golenia,90 zł,90,False,04 maja 2026,2026-05-04,Zdrowie i Uroda > Twarz > Dla mężczyzn > Golenie,Zdrowie i Uroda,Twarz,Dla mężczyzn,Golenie,Łódzkie,Łódź,Górna,https://www.olx.pl/d/oferta/maszynka-do-golenia-CID3647-ID17JSz1.html?search_reason=search%7Cpromoted
"KOLEKTOR słoneczny CIŚNIENIOWY 100l, 150l, 200l, 240l - BESSLER.PL",2 400 zł,2400,False,29 kwietnia 2026,2026-04-29,Dom i Ogród > Ogrzewanie > Podgrzewacze wody,Dom i Ogród,Ogrzewanie,Podgrzewacze wody,,Świętokrzyskie,Ostrowiec Świętokrzyski,,https://www.olx.pl/d/oferta/kolektor-sloneczny-cisnieniowy-100l-150l-200l-240l-bessler-pl-CID628-IDTydyq.html?search_reason=search%7Cpromoted
Książka Służyć z radością,5 złdo negocjacji,5,True,Dzisiaj o 15:28,2026-05-05,Muzyka i Edukacja > Książki > Literatura,Muzyka i Edukacja,Książki,Literatura,,Dolnośląskie,Wrocław,Krzyki,https://www.olx.pl/d/oferta/ksiazka-sluzyc-z-radoscia-CID751-IDWuWce.html?search_reason=search%7Corganic
Bluzeczka next r. 46,5 zł,5,False,Dzisiaj o 15:28,2026-05-05,Moda > Ubrania damskie > Bluzki i koszule > Bluzki,Moda,Ubrania damskie,Bluzki i koszule,Bluzki,Podkarpackie,Krosno,,https://www.olx.pl/d/oferta/bluzeczka-next-r-46-CID87-ID10tiu4.html?search_reason=search%7Corganic
Długopis ścieralny+ 40 wkładów + gumka,25 zł,25,False,Dzisiaj o 15:28,2026-05-05,Dla Dzieci > Artykuły szkolne > Przybory do pisania > Długopisy,Dla Dzieci,Artykuły szkolne,Przybory do pisania,Długopisy,Świętokrzyskie,Końskie,,https://www.olx.pl/d/oferta/dlugopis-scieralny-40-wkladow-gumka-CID88-IDXq1N2.html?search_reason=search%7Corganic
Tarcza diamentowa 300mm 100m/s tarcza do betonu 300mm tarcza do sthila,269 zł,269,False,Dzisiaj o 15:28,2026-05-05,Dom i Ogród > Narzędzia > Elektronarzędzia > Pozostałe,Dom i Ogród,Narzędzia,Elektronarzędzia,Pozostałe,Kujawsko-pomorskie,Nowe,,https://www.olx.pl/d/oferta/tarcza-diamentowa-300mm-100m-s-tarcza-do-betonu-300mm-tarcza-do-sthila-CID628-IDXded4.html?search_reason=search%7Corganic
Baigio Torebka Wieczorowa Kopertówka Złota Brokatowa Elegancka,65 zł,65,False,Dzisiaj o 15:28,2026-05-05,Moda > Torby i torebki > Kopertówki,Moda,Torby i torebki,Kopertówki,,Małopolskie,Nowy Sącz,,https://www.olx.pl/d/oferta/baigio-torebka-wieczorowa-kopertowka-zlota-brokatowa-elegancka-CID87-ID18A8sV.html?search_reason=search%7Corganic
Myjka Ciśnieniowa Akumulatorowa 2 Baterie Opryskiwacz Bezprzewodowy,139 zł,139,False,Dzisiaj o 15:28,2026-05-05,Dom i Ogród > Narzędzia > Elektronarzędzia > Pozostałe,Dom i Ogród,Narzędzia,Elektronarzędzia,Pozostałe,Wielkopolskie,Poznań,Chartowo,https://www.olx.pl/d/oferta/myjka-cisnieniowa-akumulatorowa-2-baterie-opryskiwacz-bezprzewodowy-CID628-ID15LaHv.html?search_reason=search%7Corganic
PSX # Grind Session,50 zł,50,False,Dzisiaj o 15:28,2026-05-05,Elektronika > Gry i Konsole > Gry > PlayStation,Elektronika,Gry i Konsole,Gry,PlayStation,Śląskie,Strumień,,https://www.olx.pl/d/oferta/psx-grind-session-CID99-ID13RGDW.html?search_reason=search%7Corganic
